benchmark,subject,group,params,revs,its,mem,best,mean,mode,worst,stdev,rstdev,diff
ReportBench,benchAggregate,,[],1,1,4222040,57170,57170,57170,57170,0,0,26.455471499712
ReportBench,benchAggregate,,[],2,1,4420424,56322.5,56322.5,56322.5,56322.5,0,0,24.580869224113
ReportBench,benchAggregate,,[],4,1,4720936,48040.25,48040.25,48040.25,48040.25,0,0,6.2611940653147
ReportBench,benchAggregate,,[],8,1,5383784,46603.5,46603.5,46603.5,46603.5,0,0,3.0832178771529
ReportBench,benchAggregate,,[],16,1,6709480,46256.9375,46256.9375,46256.9375,46256.9375,0,0,2.3166493212386
ReportBench,benchAggregate,,[],32,1,9365552,46924.53125,46924.53125,46924.53125,46924.53125,0,0,3.7933133482897
ReportBench,benchAggregate,,[],64,1,14694712,45927.375,45927.375,45927.375,45927.375,0,0,1.5876834068408
ReportBench,benchAggregate,,[],128,1,25352568,45485.6171875,45485.6171875,45485.6171875,45485.6171875,0,0,0.61055042680985
ReportBench,benchAggregate,,[],256,1,46668736,45209.58984375,45209.58984375,45209.58984375,45209.58984375,0,0,0
ReportBench,benchAggregate,,[],512,1,89300672,46917.935546875,46917.935546875,46917.935546875,46917.935546875,0,0,3.7787241800451
ReportBench,benchAggregate,,[],1024,1,174592984,49286.020507812,49286.020507812,49286.020507812,49286.020507812,0,0,9.0167388780802
