benchmark,subject,group,params,revs,its,mem,best,mean,mode,worst,stdev,rstdev,diff
ReportBench,benchAggregate,,[],1,1,4222040,58273,58273,58273,58273,0,0,29.029355804343
ReportBench,benchAggregate,,[],2,1,4420424,54240,54240,54240,54240,0,0,20.099398672242
ReportBench,benchAggregate,,[],4,1,4720936,47647.5,47647.5,47647.5,47647.5,0,0,5.5021404541973
ReportBench,benchAggregate,,[],8,1,5383784,47386,47386,47386,47386,0,0,4.9231214137698
ReportBench,benchAggregate,,[],16,1,6709480,45835.9375,45835.9375,45835.9375,45835.9375,0,0,1.4909389994189
ReportBench,benchAggregate,,[],32,1,9360376,45423.09375,45423.09375,45423.09375,45423.09375,0,0,0.57681130545513
ReportBench,benchAggregate,,[],64,1,14694712,46347.90625,46347.90625,46347.90625,46347.90625,0,0,2.6245514443669
ReportBench,benchAggregate,,[],128,1,25352568,45732.25,45732.25,45732.25,45732.25,0,0,1.261351860779
ReportBench,benchAggregate,,[],256,1,46668736,50289.77734375,50289.77734375,50289.77734375,50289.77734375,0,0,11.352728951794
ReportBench,benchAggregate,,[],512,1,89300672,47447,47447,47447,47447,0,0,5.058188952837
ReportBench,benchAggregate,,[],1024,1,174592984,45162.590820312,45162.590820312,45162.590820312,45162.590820312,0,0,0
