benchmark,subject,group,params,revs,its,mem,best,mean,mode,worst,stdev,rstdev,diff
HashingBenchmark,benchMd5,hashing,[],1,10,274320,7,9.6,8.0958904109589,23,4.4988887516808,46.863424496675,417.51204232581
HashingBenchmark,benchMd5,hashing,[],2,10,274320,5,5.1,5,5.5,0.2,3.921568627451,174.92827248559
HashingBenchmark,benchMd5,hashing,[],4,10,274320,3.25,3.5,3.5004892367906,3.75,0.15811388300842,4.5175395145263,88.676265431286
HashingBenchmark,benchMd5,hashing,[],8,10,274320,2.5,2.95,2.6399217221135,5.75,0.93908199854965,31.833288086429,59.02713800637
HashingBenchmark,benchMd5,hashing,[],16,10,274320,2.125,2.35625,2.2234589041096,3.5625,0.40509451057747,17.192339971458,27.019557263562
HashingBenchmark,benchMd5,hashing,[],32,10,274320,1.90625,2.31875,2.1143590998043,3.1875,0.41617679536466,17.948325406562,24.998025848227
HashingBenchmark,benchMd5,hashing,[],64,10,274320,1.78125,1.9234375,1.8981164383562,2.109375,0.095158687366157,4.9473241197677,3.6877155115685
HashingBenchmark,benchMd5,hashing,[],128,10,274320,1.75,1.98359375,1.9117539138943,2.6484375,0.23905356396697,12.051538474901,6.9305888236688
HashingBenchmark,benchMd5,hashing,[],256,10,274320,1.66796875,1.86015625,1.9018850905088,2.01953125,0.11196432798971,6.019081891089,0.27638124819036
HashingBenchmark,benchMd5,hashing,[],512,10,274320,1.671875,1.869921875,1.8307508255871,2.083984375,0.11566458359601,6.1855302696005,0.80282172093391
HashingBenchmark,benchMd5,hashing,[],1024,10,274320,1.693359375,1.937890625,1.8433257399707,2.8203125,0.30786950217762,15.886835830976,4.466847411229
HashingBenchmark,benchMd5,hashing,[],2048,10,274320,1.734375,1.855029296875,1.7938946688478,2.10986328125,0.1239360254982,6.6810818409705,0
HashingBenchmark,benchMd5,hashing,[],4096,10,274320,1.72705078125,1.9798828125,1.8923760281617,2.461669921875,0.2111677594336,10.665669609352,6.7305414440262
HashingBenchmark,benchMd5,hashing,[],8192,10,274320,1.7158203125,1.882470703125,1.8073797356592,2.1932373046875,0.16148657418476,8.5784375776304,1.4792977284094
